时代,类型,性别,年龄段,人设（服装造型风格）,身材,特征,常见题材,人物生成提示词
现代,亚洲人,女,青年,利落职业西装女性,匀称,短发、干练气质,现代-职场,"""A split-screen character design sheet, solid white background. [Left 1/3]: extreme close-up of a young Chinese woman, sharp business suit, short hair, calm eyes. [Right 2/3]: full-body turnaround (front, side, back), tailored dark suit, minimalist blouse, heels. Photorealistic, 8k."""
现代,亚洲人,男,青年,年轻西装精英男,偏瘦,细黑框眼镜、轻疲惫感,现代-职场,"""A split-screen character design sheet, solid white background. [Left 1/3]: extreme close-up of a young Asian man, modern suit, glasses, tired intelligent eyes. [Right 2/3]: full-body turnaround, blue shirt, dark trousers, blazer, smart watch. Photorealistic, 8k."""
现代,欧洲人,女,成年人,商务正装女性,高挑,优雅盘发、正装,现代-职场,"""A split-screen character design sheet, solid white background. [Left 1/3]: extreme close-up of a mature European woman, poised half-smile, tied-back hair. [Right 2/3]: full-body turnaround, executive suit, silk blouse, jewelry. Photorealistic, 8k."""
现代,非洲人,男,中年,深色正装中年男性,普通,灰发、威严,现代-职场,"""A split-screen character design sheet, solid white background. [Left 1/3]: extreme close-up of a middle-aged African man, dignified gaze, gray hair. [Right 2/3]: full-body turnaround, premium dark suit, crisp shirt, polished shoes. Photorealistic, 8k."""
现代,机器人,中性,N/A,室内服务机器人,机械,圆润外壳、LCD屏幕脸,现代-职场,"""A split-screen character design sheet, solid white background. [Left 1/3]: extreme close-up of a sleek indoor service robot's head, LCD glowing eyes. [Right 2/3]: full-body turnaround, white aerodynamic casing, internal sensors, hidden wheels. 8k resolution."""
现代,亚洲人,女,老年,职场资深导师造型,匀称,银发、中性西装、珍珠耳饰,现代-职场,"""A split-screen character design sheet, solid white background. [Left 1/3]: extreme close-up of an elderly Asian woman, wrinkled skin, silver hair, pearl earrings. [Right 2/3]: full-body turnaround, charcoal gray blazer, silk scarf, tailored trousers. 8k."""
现代,欧洲人,男,老年,职场元老人物,普通,灰胡须、羊绒大衣内搭正装,现代-职场,"""A split-screen character design sheet, solid white background. [Left 1/3]: extreme close-up of an elderly European man, bushy gray eyebrows, warm eyes. [Right 2/3]: full-body turnaround, wool overcoat, striped tie, spectacles. 8k."""
现代,亚洲人,女,青少年,清爽校服马尾少女,纤细,干净、青春、校服,现代-校园,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a Chinese school girl, ponytail, youthful skin. [Right 2/3]: full-body turnaround, modern school uniform, pleated skirt, backpack. 8k."""
现代,亚洲人,男,青少年,运动型校服少年,运动型,短发、护腕、球鞋,现代-校园,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a Chinese school boy, energetic eyes, short hair. [Right 2/3]: full-body turnaround, sports jacket, basketball shorts, sneakers. 8k."""
现代,欧洲人,女,青少年,学院风校服女生,纤细,齐肩发、知性,现代-校园,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a European teenage girl, sharp eyes, shoulder-length hair. [Right 2/3]: full-body turnaround, academy blazer, tie, loafers. 8k."""
现代,宠物狗,N/A,成年犬,校园金毛寻回犬,匀称,金色长毛、挂牌项圈,现代-校园,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a friendly Golden Retriever's face, warm eyes. [Right 2/3]: full-body turnaround, golden silky fur, school-themed red collar. 8k."""
现代,亚洲人,男,儿童,校园足球队小孩,瘦小,足球服、脏球鞋、汗珠,现代-校园,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of an 8-year-old Chinese boy, messy hair, excited smile. [Right 2/3]: full-body turnaround, blue soccer jersey, knee socks, dirty sneakers. 8k."""
现代,亚洲人,女,儿童,校园舞蹈服小孩,纤细,芭蕾裙、丸子头,现代-校园,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a 6-year-old Asian girl, neat hair bun, pink ribbon. [Right 2/3]: full-body turnaround, pink tutu, leotard, ballet slippers. 8k."""
现代,亚洲人,女,成年,校园教师/职员造型,匀称,衬衫、长裙、教鞭/书本,现代-校园,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a young Asian teacher, gentle eyes, simple ponytail. [Right 2/3]: full-body turnaround, white shirt, floral long skirt, holding a tablet. 8k."""
现代,亚洲人,女,青年,简约都市风女性,匀称,中长发、温柔、风衣,现代-都市,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a Chinese urban woman, soft eyes, natural hair. [Right 2/3]: full-body turnaround, knitwear, long coat, canvas bag. 8k."""
现代,亚洲人,男,成年人,实用便装男性,普通,夹克、生活化、短靴,现代-都市,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of an Asian man, faint stubble, kind eyes. [Right 2/3]: full-body turnaround, dark jacket, work trousers, practical shoes. 8k."""
现代,宠物狗,N/A,成年犬,都市柴犬,匀称,红色三角巾、憨厚,现代-都市,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a Shiba Inu, squinting happy eyes. [Right 2/3]: full-body turnaround, orange and white fur, red neckerchief. 8k."""
现代,亚洲人,男,老年,晨练老者造型,瘦削,太极服、白发、红色宝剑,现代-都市,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of an elderly Asian man, deep wrinkles, calm expression. [Right 2/3]: full-body turnaround, white silk Tai-Chi suit, cloth shoes. 8k."""
现代,欧洲人,女,老年,都市漫步老妇人,匀称,花呢外套、珍珠、优雅,现代-都市,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of an elderly European lady, silver curls, elegant lipstick. [Right 2/3]: full-body turnaround, tweed jacket, silk scarf, walking cane. 8k."""
现代,亚洲人,女,儿童,雨天黄色雨衣小孩,瘦小,黄色雨帽、红色雨靴,现代-都市,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a small child's face under a yellow hood, rain droplets. [Right 2/3]: full-body turnaround, bright yellow raincoat, red boots, clear umbrella. 8k."""
现代,机器人,中性,N/A,都市配送无人车/机器人,机械,货仓结构、指示灯,现代-都市,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a delivery robot's sensor array and logo. [Right 2/3]: full-body turnaround, 4-wheel base, cargo box, digital screen face. 8k."""
近代,亚洲人,女,青年,旗袍短发女性,匀称,波浪短发、改良旗袍,近代/民国,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a Republican-era woman, waved hair, alert eyes. [Right 2/3]: full-body turnaround, tailored qipao, low heels. 8k."""
近代,亚洲人,男,成年,制服/礼帽男性,普通,黑色制服、短发,近代/民国,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a man in period uniform, vintage cap, steady eyes. [Right 2/3]: full-body turnaround, black officer uniform, leather belt, boots. 8k."""
近代,亚洲人,男,儿童,报童/街头顽童,瘦小,报童帽、背带裤、脏脸,近代/民国,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a dirty 10-year-old boy, mischievous smile, vintage cap. [Right 2/3]: full-body turnaround, oversized shirt, suspenders, canvas bag. 8k."""
近代,亚洲人,男,老年,传统长衫老者,瘦削,白胡须、黑长衫,近代/民国,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of an elderly Chinese man, long white beard, wise eyes. [Right 2/3]: full-body turnaround, black silk changshan, cloth shoes. 8k."""
近代,欧洲人,女,青年,西式复古纱裙女性,高挑,羽毛头饰、蕾丝裙,近代/民国,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a European woman, 1920s headpiece, pearls. [Right 2/3]: full-body turnaround, drop-waist lace dress, feather boa. 8k."""
近代,亚洲人,女,儿童,民国学生裙女孩,纤细,双马尾、蓝布上衣,近代/民国,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a little girl, black pigtails, shy smile. [Right 2/3]: full-body turnaround, blue student blouse, black pleated skirt. 8k."""
古代,亚洲人,男,青年,素色长袍书生,偏瘦,发冠、清俊,中国古代,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of an ancient Chinese scholar, elegant hair crown. [Right 2/3]: full-body turnaround, layered Hanfu, cloth belt. 8k."""
古代,亚洲人,女,青年,劲装/轻甲女侠,纤细,高马尾、佩剑,中国古代,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a female wuxia wanderer, ponytail, windblown hair. [Right 2/3]: full-body turnaround, dark robes, leather bracers, sword. 8k."""
古代,亚洲人,男,老年,宗族长辈/老掌门,普通,银发、繁复长袍,中国古代,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of an old Chinese master, long white eyebrows. [Right 2/3]: full-body turnaround, heavy embroidered silk robes, dragon staff. 8k."""
古代,亚洲人,女,老年,庄严老太君造型,微胖,抹额、深色锦袍,中国古代,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of an elderly matriarch, ornate headband, wrinkled eyes. [Right 2/3]: full-body turnaround, purple silk robe, cane. 8k."""
古代,亚洲人,男,儿童,古装束发小童,瘦小,肚兜内搭、小发髻,中国古代,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a laughing ancient boy, two small hair buns. [Right 2/3]: full-body turnaround, red bib, short silk pants, cloth shoes. 8k."""
古代,亚洲人,女,儿童,古装冬装小女孩,纤细,红色斗篷、毛领,中国古代,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a girl's face peeking out from a white fur collar. [Right 2/3]: full-body turnaround, red winter cloak, embroidered boots. 8k."""
古代,亚洲人,男,成年,重甲将军造型,强壮,金属盔甲、披风,中国古代,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a general's helmeted face, cold eyes. [Right 2/3]: full-body turnaround, golden plate armor, crimson cloak. 8k."""
古代,亚洲人,女,成年,华丽宫廷礼服女性,匀称,步摇、披帛,中国古代,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a noble lady, golden hairpins, delicate makeup. [Right 2/3]: full-body turnaround, silk palace dress, long flowing sleeves. 8k."""
古代/幻想,亚洲人,男,青年,白衣仙侠造型,匀称,宽大袖口、背负长剑,中国玄幻,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a handsome sword cultivator, glowing eyes. [Right 2/3]: full-body turnaround, white translucent robes, sword case. 8k."""
古代/幻想,亚洲人,女,青年,灵动散仙造型,高挑,长发、彩绸、悬浮珠,中国玄幻,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a mystical maiden, forehead tattoo. [Right 2/3]: full-body turnaround, rainbow silk ribbons, barefoot, anklets. 8k."""
古代/幻想,神话生物,N/A,成年,东方神龙,庞大,金色鳞片、鹿角、须髯,中国玄幻,"""A split-screen character design sheet, white background. [Left 1/3]: extreme close-up of an Eastern Dragon's head, glowing whiskers. [Right 2/3]: full-body turnaround, long serpentine body, gold scales, clouds. 8k."""
古代/幻想,亚洲人,男,儿童,仙门小仙童造型,瘦小,额头红点、提灯,中国玄幻,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a cute boy, cinnabar dot on forehead. [Right 2/3]: full-body turnaround, mint green daoist robes, glowing lantern. 8k."""
古代/幻想,亚洲人,男,老年,仙风道骨老仙尊,瘦削,纯白须发、太极长袍,中国玄幻,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of an old immortal, transcendental gaze. [Right 2/3]: full-body turnaround, grand white robes, whisk (fuchen). 8k."""
古代/幻想,混血,女,青年,狐族半人造型,纤细,狐耳、三尾、短打裙,中国玄幻,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a fox-eared woman, slanting pupils. [Right 2/3]: full-body turnaround, fur-trimmed dress, three white tails. 8k."""
古代/幻想,机器人/傀儡,中性,N/A,青铜机关甲士,机械,青铜材质、符文发光,中国玄幻,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a bronze automaton head, glowing blue runes. [Right 2/3]: full-body turnaround, mechanical joints, antique armor. 8k."""
古代,欧洲人,男,青年,锁甲见习骑士,强壮,锁甲、红十字袍,欧洲中世纪,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a young knight, dirty face, brave eyes. [Right 2/3]: full-body turnaround, chainmail, tabard, longsword. 8k."""
古代,欧洲人,女,青年,贵族少女长裙,高挑,披肩、编发,欧洲中世纪,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a medieval maiden, intricate braids. [Right 2/3]: full-body turnaround, layered velvet gown, embroidered belt. 8k."""
古代,宠物狗,N/A,成年犬,皇家猎犬（细犬/灵缇）,纤细,肌肉感、皮革项圈,欧洲中世纪,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a Greyhound's sleek head, alert eyes. [Right 2/3]: full-body turnaround, muscular slim body, leather medieval collar. 8k."""
古代,欧洲人,男,老年,盔甲老国王,普通,白须、王冠、厚重披风,欧洲中世纪,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of an old king, golden crown. [Right 2/3]: full-body turnaround, ornate plate armor, fur-trimmed mantle. 8k."""
古代,欧洲人,女,老年,王太后礼服造型,高挑,深色天鹅绒、宝石,欧洲中世纪,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of an elderly queen, wrinkled but regal. [Right 2/3]: full-body turnaround, black velvet dress, gothic necklace. 8k."""
古代,欧洲人,男,儿童,农家小孩造型,瘦小,粗布麻衣、光脚,欧洲中世纪,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a blonde peasant boy, freckles. [Right 2/3]: full-body turnaround, simple linen tunic, rope belt. 8k."""
古代,欧洲人,女,儿童,贵族小女孩造型,纤细,丝缎长裙、小花环,欧洲中世纪,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a little girl, flower crown. [Right 2/3]: full-body turnaround, satin medieval dress, small lace pouch. 8k."""
古代/幻想,欧洲人,男,青年,游侠皮甲造型,瘦高,斗篷、长弓,西方玄幻,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a rogue wanderer, hooded shadows. [Right 2/3]: full-body turnaround, leather armor, green cloak, bow. 8k."""
古代/幻想,欧洲人,女,青年,女法师长袍,高挑,法杖、符文书,西方玄幻,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a sorceress, glowing violet eyes. [Right 2/3]: full-body turnaround, violet robes, intricate magical staff. 8k."""
古代/幻想,神话生物,N/A,成年,西方巨龙,庞大,红色坚甲、肉翅,西方玄幻,"""A split-screen character design sheet, white background. [Left 1/3]: extreme close-up of a Red Dragon's head, fire breathing smoke. [Right 2/3]: full-body turnaround, massive wings, horned head, spiked tail. 8k."""
古代/幻想,欧洲人,男,老年,灰袍老贤者,瘦削,木杖、白须、宽大兜帽,西方玄幻,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of an old wizard, wise deep eyes. [Right 2/3]: full-body turnaround, grey tattered robes, crystal staff. 8k."""
古代/幻想,欧洲人,男,儿童,魔法学徒小孩,瘦小,大号法师帽、眼镜,西方玄幻,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a boy with oversized glasses, starry hat. [Right 2/3]: full-body turnaround, small apprentice robe, holding a wand. 8k."""
古代/幻想,兽,男,成年,矮人战士造型,矮壮,浓密大胡子、巨斧,西方玄幻,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a dwarf, braided ginger beard. [Right 2/3]: full-body turnaround, heavy dwarven plate, double-headed axe. 8k."""
古代/幻想,宠物/生物,N/A,幼年,小火龙幼崽,娇小,小翅膀、奶凶表情,西方玄幻,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a baby dragon, smoke from nostrils. [Right 2/3]: full-body turnaround, tiny chubby dragon body, small wings. 8k."""
未来,亚洲人,女,青年,街头黑客造型,偏瘦,霓虹发光件、义眼,科幻-赛博朋克,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a hacker girl, glowing cyber-eye. [Right 2/3]: full-body turnaround, techwear, neon-lit jacket. 8k."""
未来,机器人,N/A,N/A,重型维护机器人,机械,多机械臂、油漆剥落,科幻-赛博朋克,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a robotic head with multiple cameras. [Right 2/3]: full-body turnaround, bulky rusted metal, 4 arms, caterpillar tracks. 8k."""
未来,宠物狗,N/A,成年,义体改装杜宾犬,强壮,金属下颚、红光义眼,科幻-赛博朋克,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a Doberman with chrome jaw. [Right 2/3]: full-body turnaround, robotic legs, carbon fiber spine. 8k."""
未来,亚洲人,男,青年,都市义体义肢青年,匀称,机械臂、风衣,科幻-赛博朋克,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a young man, glowing tattoos. [Right 2/3]: full-body turnaround, synthetic trench coat, glowing arm joints. 8k."""
未来,欧洲人,男,老年,废品站老技工,瘦削,机械单眼、脏兮兮工装,科幻-赛博朋克,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of an old man with an eyepiece magnifier. [Right 2/3]: full-body turnaround, dirty overalls, tool-integrated arm. 8k."""
未来,拉美人,女,儿童,贫民窟赛博小孩,瘦小,破旧卫衣、悬浮滑板,科幻-赛博朋克,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a kid, colorful neon face-paint. [Right 2/3]: full-body turnaround, oversized worn hoodie, a floating board. 8k."""
未来,机器人,中性,N/A,艺妓型拟人安卓机器人,匀称,白色瓷化皮肤、机械接缝,科幻-赛博朋克,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of an android face, visible seams on face-plates. [Right 2/3]: full-body turnaround, sleek white shell, cyber-kimono. 8k."""
未来,亚洲人,男,青年,宇航/领航制服,匀称,紧身内衬、全息屏,科幻-星际,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a pilot, futuristic headset. [Right 2/3]: full-body turnaround, starfleet uniform, utility belt. 8k."""
未来,机器人,中性,N/A,高级类人助手机器人,高挑,金属框架、流线型皮肤,科幻-星际,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a sleek AI head, pulsing blue core. [Right 2/3]: full-body turnaround, silver liquid-metal skin, humanoid frame. 8k."""
未来,宠物/生物,N/A,成年,星际异瞳猫,匀称,悬浮项圈、发光毛发,科幻-星际,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a cat with bioluminescent markings. [Right 2/3]: full-body turnaround, sleek fur, floating tech collar. 8k."""
未来,非洲人,男,中年,星际舰队上将制服,强壮,勋章、披风、冷峻,科幻-星际,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a commander, cybernetic scar. [Right 2/3]: full-body turnaround, white grand admiral uniform, medals. 8k."""
未来,混血,女,青年,外星探索防护服,匀称,头盔、生命维持装置,科幻-星际,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of an explorer, glass helmet reflection. [Right 2/3]: full-body turnaround, orange space suit, tanks on back. 8k."""
未来,欧洲人,男,儿童,空间站小孩造型,瘦小,连体连身衣、发光鞋,科幻-星际,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a kid looking at stars. [Right 2/3]: full-body turnaround, futuristic jumpsuit, small anti-gravity boots. 8k."""
未来,机器人,N/A,N/A,蜘蛛型月球探测器,机械,多足结构、太阳能板,科幻-星际,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a multi-lens camera head. [Right 2/3]: full-body turnaround, 6 mechanical legs, gold foil insulation. 8k."""
未来,亚洲人,男,青年,废土流浪者造型,瘦高,破旧披风、防毒面具,末世废土,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a survivor, dust on face. [Right 2/3]: full-body turnaround, tattered duster, gas mask, boots. 8k."""
未来,宠物狗,N/A,成年,废土拾荒犬,瘦削,自制背篓、缝合伤口,末世废土,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a scruffy dog, missing half an ear. [Right 2/3]: full-body turnaround, strapped junk packs, dirty brown fur. 8k."""
未来,亚洲人,女,老年,废土聚集地老妇,瘦削,灰白乱发、补丁斗篷,末世废土,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of an old woman, sun-damaged skin. [Right 2/3]: full-body turnaround, layered rags, rustic canteen, staff. 8k."""
未来,非洲人,男,老年,废土长老造型,普通,银髯、图腾、改装拐杖,末世废土,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of an old man, white face paint. [Right 2/3]: full-body turnaround, animal pelt cloak, scrap-metal staff. 8k."""
未来,欧洲人,女,儿童,废土拾荒小孩,瘦小,大号护目镜、脏洋娃娃,末世废土,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a girl, large goggles on head. [Right 2/3]: full-body turnaround, patched clothes, small scrap bag. 8k."""
未来,机器人,N/A,N/A,简陋组装型安保机器人,机械,各种零件拼凑、单红眼,末世废土,"""A split-screen character design sheet, white background. [Left 1/3]: close-up of a cyclopean robot head, flickering red light. [Right 2/3]: full-body turnaround, rusted pipes, asymmetrical frame. 8k."""
